# Unicode CLDR 48.2 emoji annotations (English and Korean).
# Source: https://github.com/unicode-org/cldr/tree/release-48-2/common
# Copyright © 1991-2025 Unicode, Inc.
# SPDX-License-Identifier: Unicode-3.0
# emoji\tEnglish short name\tEnglish keywords\tKorean short name\tKorean keywords
🎸	guitar	guitar | instrument | music | strat	기타	기타 | 스트라토 | 스트라토캐스터 | 악기 | 연주 | 음악 | 통기타
🎹	musical keyboard	instrument | keyboard | music | musical | piano	피아노	건반 | 악기 | 연주 | 음악 | 피아노
🎻	violin	instrument | music | violin	바이올린	바이올린 | 스트라디바리우스 | 악기 | 연주 | 음악
🪕	banjo	banjo | music | stringed	밴조	밴조 | 음악 | 현악기
🥁	drum	drum | drumsticks | music	드럼	드럼 | 북 | 북채 | 음악
🪘	long drum	beat | conga | drum | instrument | long | rhythm	긴 북	긴 북 | 드럼 | 리듬 | 박자 | 북 | 악기 | 콩가
🪇	maracas	cha | dance | instrument | maracas | music | party | percussion | rattle | shake | shaker	마라카스	달가닥 소리 | 댄스 | 떨림 | 마라카스 | 악기 | 음악 | 춤 | 타악기 | 파티
🪈	flute	band | fife | flautist | flute | instrument | marching | music | orchestra | piccolo | pipe | recorder | woodwind	플루트	리코더 | 목관악기 | 밴드 | 악기 | 오케스트라 | 음악 | 파이프 | 플루트 | 플루티스트 | 피리 | 행진
🪉	harp	cupid | harp | instrument | love | music | orchestra	하프	관현악 | 사랑 | 악기 | 연주 | 음악 | 큐피드 | 하프
📱	mobile phone	cell | communication | mobile | phone | telephone	휴대전화	모바일폰 | 셀폰 | 전화 | 커뮤니케이션 | 휴대전화 | 휴대폰
📲	mobile phone with arrow	arrow | build | call | cell | communication | mobile | phone | receive | telephone	왼쪽에 화살표가 있는 휴대전화	만들다 | 모바일 | 모바일폰 | 소통 | 수신 | 왼쪽에 화살표가 있는 휴대전화 | 주파수 | 통화 | 화살표 | 화살표가 있는 휴대전화 | 휴대전화 | 휴대폰
☎	telephone	phone | telephone	전화기	유선전화 | 전화 | 전화기
📞	telephone receiver	communication | phone | receiver | telephone | voip	수화기	수화기 | 인터넷 전화 | 전화 | 전화기 | 커뮤니케이션
📟	pager	communication | pager	삐삐	삐삐 | 커뮤니케이션 | 호출기
📠	fax machine	communication | fax | machine	팩스	커뮤니케이션 | 팩스 | 팩스기 | 팩시밀리
🔋	battery	battery	배터리	건전지 | 배터리 | 배터리 충전
🪫	low battery	battery | drained | electronic | energy | low | power	배터리 부족	방전 | 배터리 | 배터리 부족 | 배터리 없음 | 전기 | 전원 없음 | 파워 부족
🔌	electric plug	electric | electricity | plug	전기 플러그	전기 | 플러그
💻	laptop	computer | laptop | office | pc | personal	노트북	PC | 개인 | 노트북 | 랩탑 | 사무실 | 컴퓨터 | 피씨
🖥	desktop computer	computer | desktop | monitor	데스크톱 컴퓨터	데스크톱 | 모니터 | 컴퓨터
🖨	printer	computer | printer	프린터	인쇄기 | 컴퓨터 | 프린터
⌨	keyboard	computer | keyboard	키보드	컴퓨터 | 키보드
🖱	computer mouse	computer | mouse	컴퓨터 마우스	마우스 | 컴퓨터
🖲	trackball	computer | trackball	트랙볼	마우스 | 컴퓨터 | 트랙볼
💽	computer disk	computer | disk | minidisk | optical	엠디	MD | 광학 | 디스크 | 미니 디스크 | 엠디 | 컴퓨터
💾	floppy disk	computer | disk | floppy	플로피 디스크	디스켓 | 디스크 | 컴퓨터 | 플로피 디스크
💿	optical disk	CD | blu-ray | computer | disk | dvd | optical	씨디	CD | DVD | 광학 | 디비디 | 디스크 | 블루레이 | 시디 | 씨디
📀	dvd	Blu-ray | DVD | cd | computer | disk | optical	디비디	DVD | 광학 | 디비디 | 블루레이 | 시디 | 컴퓨터
🧮	abacus	abacus | calculation | calculator	주판	계산 | 암산 | 주판
🎥	movie camera	bollywood | camera | cinema | film | hollywood | movie | record	영화 카메라	발리우드 | 시네마 | 영화 | 촬영 | 카메라 | 할리우드
🎞	film frames	cinema | film | frames | movie	영화 프레임	시네마 | 영화 | 프레임 | 필름
📽	film projector	cinema | film | movie | projector | video	영화 프로젝터	무비 | 비디오 | 시네마 | 영사기 | 영화 | 프로젝터
🎬	clapper board	action | board | clapper | movie	슬레이트	슬레이트 | 액션 | 영화 | 영화 촬영 | 클래퍼보드
📺	television	television | tv | video	텔레비전	TV | 비디오 | 텔레비전 | 티비
📷	camera	camera | photo | selfie | snap | tbt | trip | video	카메라	동영상 | 비디오 | 사진 | 사진 촬영 | 셀카 | 스냅 | 여행 | 지난 시절 | 카메라
📸	camera with flash	camera | flash | video	플래시를 터트리고 있는 카메라	비디오 | 카메라 | 플래시 | 플래시 터트린 카메라 | 플래시를 터트리고 있는 카메라
📹	video camera	camcorder | camera | tbt | video	캠코더	동영상 촬영 | 비디오 | 지난 시절 | 카메라 | 캠코더
📼	videocassette	old | school | tape | vcr | vhs | video | videocassette	비디오테이프	구식 | 비디오 | 비디오카세트 | 비디오테이프 | 테이프
🔍	magnifying glass tilted left	glass | lab | left | left-pointing | magnifying | science | search | tilted | tool	왼쪽으로 향한 돋보기	검색 | 검색하기 | 과학 | 도구 | 연구실 | 왼쪽으로 향한 돋보기 | 유리
🔎	magnifying glass tilted right	contact | glass | lab | magnifying | right | right-pointing | science | search | tilted | tool	오른쪽으로 향한 돋보기	검색 | 검색하기 | 과학 | 도구 | 돋보기 | 오른쪽으로 향한 돋보기
🕯	candle	candle | light	양초	빛 | 양초 | 캔들
💡	light bulb	bulb | comic | electric | idea | light	전구	기발한 생각 | 빛 | 아이디어 | 아하 | 전구 | 전기
🔦	flashlight	electric | flashlight | light | tool | torch	손전등	도구 | 빛 | 손전등 | 전기 | 전등 | 플래시라이트
🏮	red paper lantern	bar | lantern | light | paper | red | restaurant	일본식 등	등 | 레스토랑 | 바 | 빛 | 선술집 | 식당 | 이자카야 | 일본 | 일본식 등 | 일본식 선술집 | 홍등
🪔	diya lamp	diya | lamp | light | oil	기름 램프	기름 | 디야 | 램프
📔	notebook with decorative cover	book | cover | decorated | decorative | education | notebook | school | writing	표지가 있는 노트	공책 | 노트 | 표지 | 표지가 있는 노트 | 필기 | 학교
📕	closed book	book | closed | education	펼치지 않은 책	교육 | 도서 | 책 | 펼치지 않은 책
📖	open book	book | education | fantasy | knowledge | library | novels | open | reading	펼쳐진 책	교육 | 도서관 | 독서 | 소설 | 지식 | 책 | 판타지 | 펼쳐진 책 | 펼침
📗	green book	book | education | fantasy | green | library | reading	초록색 책	교육 | 녹색 책 | 도서관 | 독서 | 책 | 초록색 책 | 판타지
📘	blue book	blue | book | education | fantasy | library | reading	파란색 책	교육 | 도서관 | 책 | 파란 책 | 파란색 | 판타지
📙	orange book	book | education | fantasy | library | orange | reading	주황색 책	교육 | 도서관 | 독서 | 오렌지 | 오렌지색 책 | 주황색 책 | 책 | 판타지
📚	books	book | books | education | fantasy | knowledge | library | novels | reading | school | study	책 여러 권	공부 | 교육 | 도서관 | 독서 | 소설 | 지식 | 책 | 책 여러 권 | 판타지 | 학교
📓	notebook	notebook	공책	공책 | 노트
📒	ledger	ledger | notebook	노트	공책 | 노트 | 원장 | 장부
📃	page with curl	curl | document | page | paper	안으로 말린 문서	말린 | 문서 | 안으로 말린 문서 | 페이지
📜	scroll	paper | scroll	문서	두루마리 | 문서 | 스크롤
📄	page facing up	document | facing | page | paper | up	오른쪽 모서리가 접힌 문서	문서 | 오른쪽 모서리가 접힌 문서 | 페이지
📰	newspaper	communication | news | newspaper | paper	신문	뉴스 | 소식 | 소식지 | 소통 | 신문 | 정보
🗞	rolled-up newspaper	news | newspaper | paper | rolled | rolled-up	돌돌 말린 신문	뉴스 | 돌돌 말린 신문 | 말린 | 신문 | 신문 뭉치
📑	bookmark tabs	bookmark | mark | marker | tabs	북마크 탭	마커 | 북마크 | 탭 | 포스트잇 | 표시
🔖	bookmark	bookmark | mark	북마크	마크 | 북마크 | 책갈피 | 표시
🏷	label	label | tag	라벨	라벨 | 택
🪙	coin	coin | dollar | euro | gold | metal | money | rich | silver | treasure	동전	골드 | 금 | 금속 | 달러 | 돈 | 동전 | 보물 | 부자 | 유로 | 은 | 코인
💰	money bag	bag | bank | bet | billion | cash | cost | dollar | gold | million | money | moneybag | paid | paying | pot | rich | win	돈주머니	10억 | 가방 | 내기 | 달러 | 돈가방 | 돈주머니 | 부자 | 승리 | 은행 | 주머니 | 지불 | 현금
🪎	treasure chest	gem | gold | jewels | loot | money | prize | silver | valuables | wealth	보물 상자	귀중품 | 금 | 돈 | 보석 | 부 | 상 | 상품 | 은 | 전리품
💴	yen banknote	bank | banknote | bill | currency | money | note | yen	엔	돈 | 엔 | 엔화 | 일본 돈 | 일본 화폐 | 지폐 | 화폐
💵	dollar banknote	bank | banknote | bill | currency | dollar | money | note	달러	달러 | 달러화 | 돈 | 미국 돈 | 미국 화폐 | 은행 | 지폐 | 화폐
💶	euro banknote	100 | bank | banknote | bill | currency | euro | money | note | rich	유로	100 | 부자 | 유럽 돈 | 유럽 화폐 | 유로 | 유로화 | 은행 | 지폐 | 화폐
💷	pound banknote	bank | banknote | bill | billion | cash | currency | money | note | pound | pounds	파운드	10억 | 돈 | 영국 돈 | 영국 화폐 | 은행 | 지폐 | 파운드 | 파운드화 | 현금 | 화폐
💸	money with wings	bank | banknote | bill | billion | cash | dollar | fly | million | money | note | pay | wings	날개 달린 돈	날개 | 날개 달린 돈 | 날아가는 돈 | 달러 | 돈 | 돈 날림 | 백만 | 손해 | 은행 | 지폐 | 페이 | 현금
💳	credit card	bank | card | cash | charge | credit | money | pay	신용카드	돈 | 신용카드 | 은행 | 지불 | 카드 | 페이 | 현금
🧾	receipt	accounting | bookkeeping | evidence | invoice | proof | receipt	영수증	기록 | 영수증 | 증빙 | 청구 | 회계
💹	chart increasing with yen	bank | chart | currency | graph | growth | increasing | market | money | rise | trend | upward | yen	엔화 관련 상승하는 그래프	그래프 | 성장 | 시장 | 엔화 관련 상승하는 그래프 | 은행 | 인상 | 차트 | 추세 | 트렌드 | 호황 | 화폐
✉	envelope	e-mail | email | envelope | letter	봉투	봉투 | 이메일 | 편지
📧	e-mail	e-mail | email | letter | mail	이메일	우편 | 이메일 | 편지
📨	incoming envelope	delivering | e-mail | email | envelope | incoming | letter | mail | receive | sent	받은 편지	받은 | 봉투 | 수신된 이메일 | 수신된 편지 | 이메일 | 편지
📩	envelope with arrow	arrow | communication | down | e-mail | email | envelope | letter | mail | outgoing | send | sent	보낸 편지	발송 | 보낸 이메일 | 보낸 편지 | 보냄 | 봉투 | 이메일 | 전송된 이메일 | 전송된 편지 | 커뮤니케이션 | 편지 | 화살표 | 화살표가 있는 편지 봉투
📤	outbox tray	box | email | letter | mail | outbox | sent | tray	보낸 편지함	메일 전송 | 보낸 편지함 | 보낸편지함 | 이메일 | 편지 | 편지 보내기 | 편지함
📥	inbox tray	box | email | inbox | letter | mail | receive | tray | zero	받은 편지함	메일 수신 | 받은 편지함 | 받은편지함 | 수신 | 이메일 | 텅 빈 받은 편지함 | 편지 | 편지 받기
📦	package	box | communication | delivery | package | parcel | shipping	소포	꾸러미 | 배송 | 소포 | 소포 박스 | 소포 상자 | 커뮤니케이션 | 택배
📫	closed mailbox with raised flag	closed | communication | flag | mail | mailbox | postbox | raised	표지가 올라간 닫힌 우편함	깃발이 올려진 닫힌 우편함 | 닫힌 | 소통 | 우편함 | 편지 | 편지함 | 표지가 올라간 닫힌 우편함
📪	closed mailbox with lowered flag	closed | flag | lowered | mail | mailbox | postbox	표지가 내려간 닫힌 우편함	깃발이 내려진 닫힌 우편함 | 내려간 | 우체통 | 우편함 | 편지 | 표지가 내려간 닫힌 우편함
📬	open mailbox with raised flag	flag | mail | mailbox | open | postbox | raised	표지가 올라간 열린 우편함	깃발이 올려진 열린 우편함 | 열린 | 우편함 | 편지 | 편지함 | 표지가 올라간 열린 우편함
📭	open mailbox with lowered flag	flag | lowered | mail | mailbox | open | postbox	표지가 내려간 열린 우편함	깃발이 내려진 열린 우편함 | 내려진 | 열린 | 우편함 | 편지 | 편지함 | 표지가 내려간 열린 우편함
📮	postbox	mail | mailbox | postbox	우편함	우체국 | 우체통 | 우편함 | 편지
🗳	ballot box with ballot	ballot | box	투표 용지가 있는 투표 상자	상자 | 투표 | 투표 용지가 있는 투표 상자 | 투표상자
✏	pencil	pencil	연필	연필 | 필기도구
✒	black nib	black | nib | pen	검은색 펜촉	검은색 펜촉 | 펜 | 펜촉
🖋	fountain pen	fountain | pen	만년필	만년필 | 펜 | 펜촉 | 필기도구
🖊	pen	ballpoint | pen	펜	볼펜 | 펜
🖌	paintbrush	paintbrush | painting	붓	붓 | 페인트 브러쉬 | 페인트붓 | 페인팅
🖍	crayon	crayon	크레용	크레용 | 크레파스
📝	memo	communication | media | memo | notes | pencil	메모	노트 | 메모 | 메모장 | 메모지 | 미디어 | 소통 | 연필
💼	briefcase	briefcase | office	서류 가방	가방 | 사무실 | 서류 가방
📁	file folder	file | folder	폴더	파일 | 폴더
📂	open file folder	file | folder | open	폴더 열기	열기 | 열린 파일 폴더 | 열린 폴더 | 파일 | 폴더
🗂	card index dividers	card | dividers | index	카드 색인 파일	분류 | 색인 | 인덱스 | 카드 | 파일 | 폴더
📅	calendar	calendar | date	달력	날짜 | 달력 | 일정 | 캘린더
📆	tear-off calendar	calendar | tear-off	뜯어진 달력	달력 | 뜯어진 달력 | 일정 | 캘린더 | 한 장씩 뜯어내는 달력
🗒	spiral notepad	note | notepad | pad | spiral	스프링 노트	노트 | 수첩 | 스프링 노트 | 패드
🗓	spiral calendar	calendar | pad | spiral	스프링 달력	달력 | 벽걸이 달력 | 스프링 달력 | 캘린더 | 패드
📇	card index	card | index | old | rolodex | school	카드 인덱스	명함 | 색인 | 옛날 방식 | 인덱스 | 카드
📈	chart increasing	chart | data | graph | growth | increasing | right | trend | up | upward	상승하는 그래프	그래프 | 데이터 | 상승 그래프 | 상승하는 그래프 | 상향 | 성장 | 오른쪽으로 상승 | 추세 | 트렌드 | 호황
📉	chart decreasing	chart | data | decreasing | down | downward | graph | negative | trend	내려가는 그래프	그래프 | 내려가는 | 데이터 | 불황 | 아래 | 차트 | 추세 | 트렌드 | 하향
📊	bar chart	bar | chart | data | graph	막대 그래프	그래프 | 데이터 | 막대 | 막대그래프 | 차트
📋	clipboard	clipboard | do | list | notes	클립보드	노트 | 클리핑 | 클립 | 클립보드 | 할일
📌	pushpin	collage | pin | pushpin	압정	압정 | 콜라주 | 핀
📍	round pushpin	location | map | pin | pushpin | round	둥근 머리 핀	둥근 머리 압정 | 둥근 머리 핀 | 압정 | 지도 | 핀
📎	paperclip	paperclip	클립	종이 클립 | 클립
🖇	linked paperclips	link | linked | paperclip | paperclips	이어져 있는 클립	연결된 | 이어져 있는 클립 | 클립 | 페이퍼 클립
📏	straight ruler	angle | edge | math | ruler | straight | straightedge	자	수학 | 자 | 직각 | 직선자
📐	triangular ruler	angle | math | rule | ruler | set | slide | triangle | triangular	삼각자	각 | 삼각자 | 삼각형 | 수학 | 자
✂	scissors	cut | cutting | paper | scissors | tool	가위	가위 | 기구 | 도구 | 자르기 | 종이
🗃	card file box	box | card | file	카드 파일 상자	상자 | 카드 | 파일
🗄	file cabinet	cabinet | file | filing | paper	파일 보관 서랍장	캐비닛 | 파일 | 파일 보관 서랍장 | 파일철
🗑	wastebasket	can | garbage | trash | waste | wastebasket	쓰레기통	쓰레기통 | 휴지통
🔒	locked	closed | lock | locked | private	자물쇠	락 | 사적인 | 자물쇠 | 잠금
🔓	unlocked	cracked | lock | open | unlock | unlocked	열린 자물쇠	락 | 열린 자물쇠 | 자물쇠 | 잠금풀림 | 잠금해제
🔏	locked with pen	ink | lock | locked | nib | pen | privacy	자물쇠와 펜	사생활 | 잉크 | 자물쇠 | 자물쇠와 펜 | 펜 | 펜촉 | 프라이버시
🔐	locked with key	bike | closed | key | lock | locked | secure	자물쇠와 열쇠	보안 | 안전 | 열쇠 | 자물쇠 | 자물쇠와 열쇠 | 자전거 자물쇠 | 잠금
🔑	key	key | keys | lock | major | password | unlock	열쇠	열쇠 | 잠금해제 | 중요 열쇠 | 패스워드
🗝	old key	clue | key | lock | old	오래된 열쇠	단서 | 보물 열쇠 | 열쇠 | 오래된 열쇠 | 자물쇠
🔨	hammer	hammer | home | improvement | repairs | tool	망치	도구 | 망치 | 주택 개조 | 주택 수리 | 해머
🪓	axe	ax | axe | chop | hatchet | split | wood	도끼	나무 | 도끼 | 손도끼 | 쪼개기
⛏	pick	hammer | mining | pick | tool	곡괭이	곡괭이 | 광산 | 망치 | 장비
⚒	hammer and pick	hammer | pick | tool	망치와 곡괭이	곡괭이 | 망치 | 망치와 곡괭이 | 장비
🛠	hammer and wrench	hammer | spanner | tool | wrench	망치와 렌치	도구 | 렌치 | 망치 | 망치와 렌치 | 스패너 | 장비
🗡	dagger	dagger | knife | weapon	단검	단검 | 단도 | 대거 | 무기 | 칼
⚔	crossed swords	crossed | swords | weapon	쌍검	검 | 교차된 검 두개 | 무기 | 쌍검
💣	bomb	bomb | boom | comic | dangerous | explosion | hot	폭탄	뜨거운 | 만화 | 위험한 | 코믹 | 폭발 | 폭탄
🪃	boomerang	boomerang | rebound | repercussion | weapon	부메랑	무기 | 반동 | 부메랑 | 영향
🏹	bow and arrow	Sagittarius | archer | archery | arrow | bow | tool | weapon | zodiac	활과 화살	궁수 | 무기 | 별자리 | 사수자리 | 장비 | 화살 | 활 | 활과 화살
🛡	shield	shield | weapon	방패	무기 | 방패 | 보호
🪚	carpentry saw	carpenter | carpentry | cut | lumber | saw | tool | trim	목공 톱	도구 | 목공 톱 | 목수 | 목재 | 자르기 | 장비 | 톱 | 톱질 | 트림
🔧	wrench	home | improvement | spanner | tool | wrench	렌치	도구 | 렌치 | 스패너 | 주택 수리
🪛	screwdriver	flathead | handy | screw | screwdriver | tool	드라이버	나사 | 도구 | 드라이버 | 일자 | 장비 | 편리한
🔩	nut and bolt	bolt | home | improvement | nut | tool	볼트와 너트	나사 | 너트 | 도구 | 볼트 | 볼트와 너트 | 주택 개조 | 주택 수리
⚙	gear	cog | cogwheel | gear | tool	톱니바퀴	기어 | 도구 | 톱니바퀴
🗜	clamp	clamp | compress | tool | vice	압축기	바이스 | 압축기 | 연장 | 콤프레셔 | 클램프
⚖	balance scale	Libra | balance | justice | scale | scales | tool | weight | zodiac	접시저울	공평한 | 균형 | 별자리 | 저울 | 접시저울 | 정의 | 천칭자리
🦯	white cane	accessibility | blind | cane | probing | white	시각장애인 지팡이	시각장애 | 시각장애인 지팡이 | 접근성 | 지팡이
🔗	link	link | links	링크	링크 | 링크 표시 | 이음
⛓‍💥	broken chain	break | breaking | broken | chain | cuffs | freedom	끊어진 쇠사슬	끊어진 | 끊어진 쇠사슬 | 부서진 | 사슬 | 수갑 | 자유 | 족쇄
⛓	chains	chain | chains	쇠사슬	사슬 | 쇠사슬 | 체인
🪝	hook	catch | crook | curve | ensnare | hook | point | selling	갈고리	갈고리 | 걸리게 하다 | 고리 | 곡선 | 팔리는 | 후크 | 훅
🧰	toolbox	box | chest | mechanic | red | tool | toolbox	공구통	공구 | 공구통 | 공구함 | 정비공
🧲	magnet	attraction | horseshoe | magnet | magnetic | negative | positive | shape | u	자석	u자 | 마그넷 | 말굽 자석 | 양극 음극 | 자력 | 자석 | 편자
🪜	ladder	climb | ladder | rung | step	사다리	계단 | 단계 | 발판 사다리 | 사다리 | 상승 | 오르다
🪏	shovel	bury | dig | garden | hole | plant | scoop | shovel | snow | spade	삽	구멍 | 눈 | 뜨다 | 묻다 | 삽 | 심다 | 정원 | 파다
⚗	alembic	alembic | chemistry | tool	증류기	도구 | 정류 | 정화 | 증류 | 증류기 | 화학
🧪	test tube	chemist | chemistry | experiment | lab | science | test | tube	시험관	과학 | 시험관 | 실험 | 연구실 | 화학 | 화학자
🧫	petri dish	bacteria | biologist | biology | culture | dish | lab | petri	페트리 접시	미생물 | 박테리아 | 생물학 | 생물학자 | 실험실 | 페트리 접시
🧬	dna	biologist | dna | evolution | gene | genetics | life	DNA	DNA | 생물 | 생물학 | 생물학자 | 유전 | 유전학 | 진화
🔬	microscope	experiment | lab | microscope | science | tool	현미경	과학 | 기구 | 도구 | 실험 | 연구실 | 장치 | 현미경
🔭	telescope	contact | extraterrestrial | science | telescope | tool	망원경	과학 | 도구 | 망원경 | 발견 | 외계인 | 장비
📡	satellite antenna	aliens | antenna | contact | dish | satellite | science	위성 안테나	과학 | 발견 | 안테나 | 외계인 | 위성 | 위성 방송 | 접시
💉	syringe	doctor | flu | medicine | needle | shot | sick | syringe | tool | vaccination	주사기	도구 | 독감 주사 | 백신 | 병원 | 아픔 | 의사 | 의학 | 주사 바늘 | 주사기 | 치료
🩸	drop of blood	bleed | blood | donation | drop | injury | medicine | menstruation	핏방울	생리 | 의학 | 핏방울 | 헌혈
💊	pill	doctor | drugs | medicated | medicine | pill | pills | sick | vitamin	알약	비타민 | 아픔 | 알약 | 약 | 약물 | 의사 | 의학
🩹	adhesive bandage	adhesive | bandage	반창고	반창고 | 밴드
🩼	crutch	aid | cane | crutch | disability | help | hurt | injured | mobility | stick	목발	다치다 | 다친 | 다침 | 도움 | 막대 | 목발 | 보조 | 이동 보조 | 장애 | 지팡이 | 헬프
🩺	stethoscope	doctor | heart | medicine | stethoscope	청진기	심박수 | 심장 | 의사 | 의학 | 청진기
🩻	x-ray	bones | doctor | medical | skeleton | skull | x-ray | xray	엑스레이	뼈 | 스컬 | 스켈레톤 | 엑스레이 | 의료 | 의사 | 해골
🚪	door	back | closet | door | front	문	도어 | 뒷문 | 문 | 앞문 | 웃장
🛗	elevator	accessibility | elevator | hoist | lift	엘리베이터	승강 장치 | 승강기 | 엘리베이터 | 접근성
🪞	mirror	makeup | mirror | reflection | reflector | speculum	거울	거울 | 메이크업 | 반사 | 반사경 | 반사체 | 화장
🪟	window	air | frame | fresh | opening | transparent | view | window	창문	맑은 공기 | 윈도우 | 전망 | 창 | 창문 | 창틀 | 투명한
🛏	bed	bed | hotel | sleep	침대	잠 | 침대 | 호텔
🛋	couch and lamp	couch | hotel | lamp	소파와 전등	램프 | 소파 | 소파와 등 | 소파와 전등 | 전등 | 카우치 | 호텔
🪑	chair	chair | seat | sit	의자	앉기 | 의자 | 좌석
🚽	toilet	bathroom | toilet	변기	변기 | 화장실
🪠	plunger	cup | force | plumber | plunger | poop | suction | toilet	뚫어뻥	똥 | 뚫어뻥 | 배관공 | 변기 | 빨아들이기 | 화장실 | 흡입
🚿	shower	shower | water	샤워	물 | 샤워
🛁	bathtub	bath | bathtub	욕조	목욕 | 샤워 | 욕조
🪤	mouse trap	bait | cheese | lure | mouse | mousetrap | snare | trap	쥐덫	덫 | 루어 | 미끼 | 쥐덫 | 치즈 | 함정
🪒	razor	razor | sharp | shave	면도칼	날카로운 | 면도 | 면도기 | 면도칼
🧴	lotion bottle	bottle | lotion | moisturizer | shampoo | sunscreen	로션	로션 | 로션통 | 모이스처라이저 | 샴푸 | 선크림
🧷	safety pin	diaper | pin | punk | rock | safety	옷핀	고정용 핀 | 옷핀
🧹	broom	broom | cleaning | sweeping | witch	빗자루	마녀 | 비질 | 빗자루 | 청소
🧺	basket	basket | farming | laundry | picnic	바구니	바구니 | 빨래바구니 | 소풍
🧻	roll of paper	paper | roll | toilet | towels	두루마리	두루마리 | 종이 수건 | 종이 타월 | 페이퍼 타월 | 화장지 | 휴지
🪣	bucket	bucket | cask | pail | vat	양동이	들통 | 버킷 | 양동이 | 통
🧼	soap	bar | bathing | clean | cleaning | lather | soap | soapdish	비누	목욕 | 비누 | 비누 거품 | 비누 그릇 | 비누통 | 클렌징
🫧	bubbles	bubble | bubbles | burp | clean | floating | pearl | soap | underwater	거품	거품 | 물 속 | 물에 둥둥 | 버블 | 비누 | 진주 | 청소 | 트림
🪥	toothbrush	bathroom | brush | clean | dental | hygiene | teeth | toiletry | toothbrush	칫솔	깨끗한 | 브러시 | 솔 | 욕실 | 위생 | 이 | 칫솔
🧽	sponge	absorbing | cleaning | porous | soak | sponge	스펀지	구멍이 뽕뽕 | 스펀지 | 청소 | 흡수
🧯	fire extinguisher	extinguish | extinguisher | fire | quench	소화기	소화 | 소화기 | 진화 | 화재
🛒	shopping cart	cart | shopping | trolley	쇼핑카트	쇼핑 | 쇼핑카트 | 장보기 | 카트
🚬	cigarette	cigarette | smoking	흡연 구역 신호	담배 | 흡연 | 흡연 구역 신호
⚰	coffin	coffin | dead | death | vampire	관	관 | 뱀파이어 | 장례식 | 죽은 | 죽음 | 흡혈귀
🪦	headstone	cemetery | dead | grave | graveyard | headstone | memorial | rip | tomb | tombstone	묘비	기일 | 묘비 | 묘석 | 묘지 | 무덤 | 비석 | 삼가 고인의 명복을 빕니다 | 죽음
⚱	funeral urn	ashes | death | funeral | urn	납골 단지	납골 단지 | 단지 | 유골함 | 장례식 | 재 | 죽음
🧿	nazar amulet	amulet | bead | blue | charm | evil-eye | nazar | talisman	악마의 눈	구슬 | 나자르 | 부적 | 악마의 눈 | 탈리스만 | 파란색
🪬	hamsa	Fatima | Mary | Miriam | amulet | fortune | guide | hamsa | hand | palm | protect | protection	함사	가이드 | 마리아 | 미리암 | 보호 | 부적 | 손 | 손바닥 | 안내 | 운 | 파티마 | 함사 | 핸드
🗿	moai	face | moai | moyai | statue | stoneface | travel	모아이	동상 | 리톱스 | 모아이 | 모아이상 | 석상 | 여행
🪧	placard	card | demonstration | notice | picket | placard | plaque | protest | sign	플래카드	데모 | 사인 | 시위 | 알림판 | 카드 | 표지판 | 플래카드 | 피켓
🪪	identification card	ID | card | credentials | document | identification | license | security	신분증	ID | 라이센스 | 문서 | 보안 | 신분증 | 신원 | 아이디 | 자격증 | 허가증
🏧	ATM sign	ATM | automated | bank | cash | money | sign | teller	ATM	ATM | 에이티엠 | 은행 | 자동화 | 현금 | 현금인출기
🚮	litter in bin sign	bin | litter | litterbin | sign	쓰레기는 쓰레기통에	쓰레기 | 쓰레기는 쓰레기통에 | 쓰레기는 쓰레기통에 표시 | 쓰레기통
🚰	potable water	drinking | potable | water	음수대	물 | 식수대 | 음료 | 음수대
♿	wheelchair symbol	access | handicap | symbol | wheelchair	휠체어	장애 | 장애인 | 접근 | 휠체어 | 휠체어 표시
🚹	men’s room	WC | bathroom | lavatory | man | men’s | restroom | room | toilet	남자 화장실	남성 | 남성용 | 남자 화장실 | 남자용
🚺	women’s room	WC | bathroom | lavatory | restroom | room | toilet | woman | women’s	여자 화장실	여성 | 여성용 | 여자 화장실 | 여자용
🚻	restroom	WC | bathroom | lavatory | restroom | toilet	화장실	공중화장실 | 화장실
🚼	baby symbol	baby | changing | symbol	수유실	기저귀 | 수유실 | 아기 | 아기 표시
🚾	water closet	WC | bathroom | closet | lavatory | restroom | toilet | water	더블유씨	WC | 공중화장실 | 더블유씨 | 화장실
🛂	passport control	control | passport	출입국 심사	수속 | 여권 | 출입국 심사
🛃	customs	customs | packing	세관	세관 | 짐싸기 | 포장
🛄	baggage claim	arrived | baggage | bags | case | checked | claim | journey | packing | plane | ready | travel | trip	짐 찾는 곳	가방 | 도착 | 비행기 | 수하물 찾는 곳 | 여정 | 여행 | 여행 준비 | 짐 | 짐 찾는 곳 | 짐싸기 | 체크인 | 화물
🛅	left luggage	baggage | case | left | locker | luggage	화물 서비스	보관함 | 수하물 보관소 | 짐 | 케이스 | 화물 | 화물 서비스
⚠	warning	caution | warning	주의	경고 | 주의
🚸	children crossing	child | children | crossing | pedestrian | traffic	어린이 보호 구역	건널목 | 교통 | 보도 | 어린이 | 어린이 구역 | 어린이 보호 구역 | 어린이 횡단보도
⛔	no entry	do | entry | fail | forbidden | no | not | pass | prohibited | traffic	진입 금지	교통 | 금지 | 들어오지 마시오 | 실패 | 진입 금지 | 진입 금지 표시
